questId,title,detail,category,type
14,【主线任务】通关1-3！,到达1-3最深处并取得S胜,2,4
15,【主线任务】通关1-4！,到达1-4最深处并取得S胜,2,4
21,【主线任务】通关3-2！,到达3-2最深处并取得S胜,2,4
22,【主线任务】通关3-3！,到达3-3最深处并取得S胜,2,4
23,【主线任务】通关3-4！,到达3-4最深处并取得S胜,2,4
24,【主线任务】通关4-1！,到达4-1最深处并取得S胜,2,4
32,【每日任务】出击3次,任意出击3次,2,1
33,【每日任务】出击10次,任意出击3次,2,1
34,【每周任务】全力出击！,任意出击60次,2,2
35,【每日任务】演习3次,进行3次演习,3,1
36,【每日任务】演习5次,进行5次演习 ,3,1
38,【每日任务】远征3次,任意远征成功3次 ,4,1
39,【每日任务】远征10次 ,任意远征成功10次,4,1
40,【每周任务】全力远征！,任意远征30次,4,2
41,【每日任务】开发4次,开发4次（成功失败都行）,6,1
42,【每日任务】建造4次,任意建造4次,6,1
43,【每日任务】合成2次,合成成功2次,7,1
45,【循环任务】初级：第一阶段,1-1海域最深处取得S胜以上 2次,2,5
46,【循环任务】初级：第二阶段,1-2海域最深处取得S胜以上 2次,2,5
47,【循环任务】初级：第三阶段,1-3海域最深处取得S胜以上 2次,2,5
49,【循环任务】中级：第二阶段,2-3海域最深处取得S胜以上 2次,2,5
101,はじめての「編成」！,2隻以上の艦で構成される「艦隊」を編成せよ！,1,4
102,「駆逐隊」を編成せよ！,駆逐艦4隻以上で構成される「駆逐隊」を編成せよ！,1,4
103,「水雷戦隊」を編成せよ！,軽巡洋艦を旗艦とし、数隻の駆逐艦で構成される「水雷戦隊」を編成せよ！,1,4
104,6隻編成の艦隊を編成せよ！,全6隻で構成される主力艦隊を編成せよ！,1,4
105,軽巡2隻を擁する隊を編成せよ！,軽巡洋艦2隻を擁する高速艦隊を編成せよ！,1,4
106,「重巡戦隊」を編成せよ！,重巡洋艦2隻を擁する重巡艦隊を編成せよ！,1,4
107,「空母機動部隊」を編成せよ！,空母1隻以上を旗艦とし、その護衛艦艇と共に、空母機動部隊を編成せよ！,1,4
108,「天龍」型軽巡姉妹の全2艦を編成せよ！,天龍型軽巡洋艦「天龍」「龍田」を同一艦隊に配属せよ！,1,4
109,「川内」型軽巡姉妹の全3艦を編成せよ！,川内型軽巡洋艦「川内」「神通」「那珂」を同一艦隊に配属せよ！,1,4
110,「妙高」型重巡姉妹の全4隻を編成せよ！,妙高型重巡洋艦「妙高」「那智」「足柄」「羽黒」を同一艦隊に配属せよ！,1,4
111,「扶桑」型戦艦姉妹の全2隻を編成せよ！,扶桑型戦艦「扶桑」「山城」を同一艦隊に配属せよ！,1,4
112,「伊勢」型戦艦姉妹の全2隻を編成せよ！,伊勢型戦艦「伊勢」「日向」を同一艦隊に配属せよ！,1,4
113,戦艦と重巡による主力艦隊を編成せよ！,戦艦1隻以上、重巡2隻以上を主力とした水上打撃艦隊を編成せよ！,1,4
114,「南雲機動部隊」を編成せよ！,一航戦「赤城」「加賀」二航戦「飛龍」「蒼龍」からなる第一機動部隊を編成せよ！,1,4
115,第2艦隊を編成せよ！,二つ目の艦隊、第2艦隊の旗艦を指定して、第2艦隊を編成せよ！,1,4
116,「水上機母艦」を配備せよ！,多数の水上偵察機を運用する「水上機母艦」を艦隊に配備せよ！,1,4
117,第2艦隊で空母機動部隊を編成せよ！,第2艦隊に空母を配備して、空母機動部隊を編成せよ！,1,4
118,「金剛」型による高速戦艦部隊を編成せよ！,金剛型戦艦「金剛」「比叡」「榛名」「霧島」全4隻の高速戦艦を集中配備せよ！,1,4
119,「三川艦隊」を編成せよ！,「鳥海」「青葉」「加古」「古鷹」「天龍」を含む高速艦隊を編成せよ！,1,4
120,「第六駆逐隊」を編成せよ！,「暁」「響」「雷」「電」4隻による第六駆逐隊を編成せよ！,1,4
121,「第四戦隊」を編成せよ！,「愛宕」「高雄」「鳥海」「摩耶」を基幹とした第四戦隊を編成せよ！,1,4
122,「西村艦隊」を編成せよ！,「扶桑」「山城」「最上」「時雨」を基幹とした西村艦隊を編成せよ！,1,4
123,「第五航空戦隊」を編成せよ！,「翔鶴」「瑞鶴」を基幹とし、駆逐艦2隻を加えた第五航空戦隊を編成せよ！,1,4
124,新「三川艦隊」を編成せよ！,「鳥海」「青葉」「衣笠」「加古」「古鷹」「天龍」からなる三川艦隊を編成せよ！,1,4
125,潜水艦隊を編成せよ！,伊号潜水艦2隻からなる潜水艦隊を編成せよ！,1,4
126,航空水上打撃艦隊を編成せよ！,航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊を編成せよ！,1,4
127,中規模潜水艦隊を編成せよ！,伊号潜水艦3隻以上からなる潜水艦隊を編成せよ！,1,4
128,「第六戦隊」を編成せよ！,「古鷹」「加古」「青葉」「衣笠」を基幹とした第六戦隊を編成せよ！,1,4
129,「第五艦隊」を編成せよ！,「那智」「足柄」「多摩」「木曾」を中核とした「第五艦隊」を編成せよ！,1,4
130,「第一水雷戦隊」を編成せよ！,「阿武隈」「曙」「潮」「霞」「不知火」を中核とした「第一水雷戦隊」を編成せよ！,1,4
131,「第八駆逐隊」を編成せよ！,「朝潮」「満潮」「大潮」「荒潮」4隻による第八駆逐隊を編成せよ！,1,4
132,「第十八駆逐隊」を編成せよ！,「霞」「霰」「陽炎」「不知火」4隻による第十八駆逐隊を編成せよ！,1,4
133,「第三十駆逐隊(第一次)」を編成せよ！,「睦月」「如月」「弥生」「望月」4隻による第三十駆逐隊(第一次)を編成せよ！,1,4
134,式の準備！(その参),第一艦隊旗艦に練度の高い(Lv.90以上～99以下)艦娘を配備して気持ちを整理せよ！,1,4
135,新たなる旅立ち！,第一艦隊旗艦に強い絆を結んだLv.100以上の艦娘を配備した6隻の艦隊を編成せよ！,1,4
136,「第三十駆逐隊(第二次)」を編成せよ！,「睦月」「弥生」「卯月」「望月」4隻による第三十駆逐隊(第二次)を編成せよ！,1,4
137,「第五戦隊」を編成せよ！,「妙高」「那智」「羽黒」を基幹とした第五戦隊を編成せよ！,1,4
138,新編「第二航空戦隊」を編成せよ！,「飛龍改二」(※旗艦)及び「蒼龍」を基幹とした二航戦(要駆逐艦2隻)を編成せよ！,1,4
139,潜水艦隊「第六艦隊」を編成せよ！,「潜水母艦」と複数の潜水艦(4隻以上)からなる潜水艦隊「第六艦隊」を編成せよ！,1,4
140,新型電探を配備せよ！,新型電探運用試験のため、第一艦隊の旗艦に「妙高改二」を配備せよ！,1,4
141,再編成「第二航空戦隊」を強化せよ！,「蒼龍改二」(※旗艦)及び「飛龍改二」を基幹とした二航戦(要駆逐艦2隻)を編成せよ！,1,4
142,精鋭「第三戦隊」全艦集結せよ！,第二次改装を完了した改装金剛型高速戦艦4隻を集結させよ！,1,4
143,「新型正規空母」を配備せよ！,雲龍型航空母艦一番艦「雲龍」を第一艦隊機旗艦に配備せよ！,1,4
144,主力戦艦部隊「第二戦隊」を編成せよ！,長門型2隻及び扶桑型2隻の計4隻の主力戦艦からなる第二戦隊を編成せよ！,1,4
145,戦艦を主力とした水上打撃部隊を編成せよ！,大和型?長門型?伊勢型?扶桑型のいずれか3隻と軽巡1隻他の水上打撃部隊を配備せよ！,1,4
146,改修工廠を準備せよ！,第一艦隊の旗艦に工作艦「明石」を配備、改修工廠の準備を実施せよ！,1,4
147,「西村艦隊」を再編成せよ！,「扶桑」「山城」「最上」「時雨」「満潮」を基幹とした西村艦隊を編成せよ！,1,4
148,軽快な「水上反撃部隊」を編成せよ！,駆逐艦「霞」を旗艦とした重巡「足柄」及び軽巡1隻駆逐艦4隻の水上挺身部隊を編成せよ！,1,4
149,「第十一駆逐隊」を編成せよ！,特I型駆逐艦「吹雪」「白雪」「初雪」「叢雲」4隻による第十一駆逐隊を編成せよ！,1,4
150,「第二一駆逐隊」を編成せよ！,「初春」「子日」「若葉」「初霜」4隻による第二一駆逐隊を編成せよ！,1,4
151,「第二二駆逐隊」を編成せよ！,「皐月」「文月」「長月」他1隻計駆逐艦4隻による第二二駆逐隊を編成せよ！,1,4
152,「三川艦隊」を新編、突入準備せよ！,第一艦隊において、「鳥海改ニ」を旗艦とする「三川艦隊」を編成せよ！,1,4
153,「第十八戦隊」を新編成せよ！,軽巡洋艦「天龍」「龍田」を基幹戦力とした「第十八戦隊」を4隻以上で新編成せよ！,1,4
154,海上突入部隊を編成せよ！,戦艦「比叡」「霧島」軽巡「長良」駆逐艦「暁」「雷」「電」による海上突入部隊を編成せよ！,1,4
155,新編「第六駆逐隊」を編成せよ！,「暁改二」を旗艦とした「響」「雷」「電」4隻による第六駆逐隊を編成せよ！,1,4
156,「第一水雷戦隊」北方突入準備！,「阿武隈」を旗艦として「響」「初霜」「若葉」「五月雨」「島風」による一水戦を編成せよ！,1,4
157,「第一水雷戦隊」北方再突入準備！,「阿武隈改二」を旗艦として「響」「夕雲」「長波」「秋雲」「島風」の一水戦を再編成せよ！,1,4
158,精鋭無比「第一戦隊」抜錨準備！,主力戦艦編成任務：第一艦隊旗艦に「長門改二」、同二番艦に「陸奥改二」から構成される第一戦隊を配備、精鋭無比の水上打撃艦隊を編成せよ！,1,4
161,「第五航空戦隊」を再編成せよ！,「翔鶴」「瑞鶴」と随伴駆逐艦「朧」「秋雲」を基幹とした第五航空戦隊を再編成せよ！,1,4
162,新編「第二一戦隊」出撃準備！,「那智改二」「足柄改二」及び「多摩」「木曾」を基幹とした、第二一戦隊を編成せよ！,1,4
163,「第十六戦隊(第一次)」を編成せよ！,「足柄」を旗艦として「球磨」「長良」を擁する、第十六戦隊(第一次)を編成せよ！,1,4
164,「第三航空戦隊」を編成せよ！,「瑞鶴改」を旗艦とし、「瑞鳳」「千歳」「千代田」を加えた4隻の空母部隊を編成せよ！,1,4
165,「第四航空戦隊」を編成せよ！,航空戦艦「伊勢改」及び「日向改」を基幹戦力とした第四航空戦隊を編成せよ！,1,4
166,「小沢艦隊」を編成せよ！,「瑞鶴改」旗艦、空母「瑞鳳改」「千歳」「千代田」及び「伊勢改」「日向改」を配備せよ！,1,4
167,新航空戦隊を編成せよ！,改二改装を終えた翔鶴型航空母艦2隻と同護衛艦による新航空戦隊を新編成せよ！,1,4
